"Zip Code","City","State","lat","lng","% of Visits","Visits","YoY Change in Visits","% YoY Change in Visits"
"72830","Clarksville","AR","35.51683898150374","-93.50861263068309","0.007","25","25","N/A"
"81235","Lake City","CO","37.99357775475569","-107.3310684699699","0.007","25","25","N/A"
"78839","Crystal City","TX","28.71285878875556","-99.75516054806008","0.007","25","-5","-16.666666666666664"
"80915","Colorado Springs","CO","38.85273063860928","-104.71653839604772","0.007","25","-35","-58.33333333333333"
"76111","Fort Worth","TX","32.78040755131372","-97.30118133933256","0.007","25","25","N/A"
"76250","Lindsay","TX","33.63005839676218","-97.24245097032798","0.007","25","25","N/A"
"21742","Hagerstown","MD","39.67365377993044","-77.65931884329423","0.007","24","24","N/A"
"78108","Cibolo","TX","29.573533934466727","-98.22068700269912","0.007","24","24","N/A"
"75165","Waxahachie","TX","32.36690252699963","-96.79677864187607","0.007","24","24","N/A"
"17721","Avis","PA","41.181567739151795","-77.31940253488965","0.007","24","24","N/A"
"72949","Ozark","AR","35.55755401544703","-93.80814872288515","0.007","24","24","N/A"
"60102","Algonquin","IL","42.16403460720813","-88.30929080625833","0.007","24","24","N/A"
"73020","Choctaw","OK","35.45588359304665","-97.26189034788754","0.007","24","-40","-62.5"
"75082","Richardson","TX","32.9921244749041","-96.66527883586551","0.007","24","-145","-85.79881656804733"
"88316","Capitan","NM","33.773029132339175","-105.36894249131166","0.007","24","-6","-19.999999999999996"
"78640","Kyle","TX","29.996191257157484","-97.82355249677583","0.007","24","-38","-61.29032258064516"
"28544","Midway Park","NC","34.70849817522199","-77.31562539209519","0.007","24","-25","-51.02040816326531"
"82601","Casper","WY","43.06544669473547","-106.3461363944799","0.007","24","24","N/A"
"49017","Battle Creek","MI","42.39787926376281","-85.21104327651419","0.007","24","24","N/A"
"45365","Sidney","OH","40.28279581085165","-84.15580850332253","0.007","23","23","N/A"
"83301","Twin Falls","ID","42.3947412736347","-114.52201571770422","0.007","23","-6","-20.68965517241379"
"78501","McAllen","TX","26.215998846158428","-98.23910631042352","0.007","23","-3","-11.538461538461542"
"76117","Haltom City","TX","32.803719712456825","-97.26768429874768","0.006","23","23","N/A"
"88119","Fort Sumner","NM","34.347762951338936","-104.40039566142094","0.006","23","-171","-88.14432989690721"
"75156","Mabank","TX","32.28758583274096","-96.09999389041627","0.006","23","23","N/A"
"78240","San Antonio","TX","29.5244167903025","-98.60810092564337","0.006","23","-49","-68.05555555555556"
"78238","San Antonio","TX","29.470821537572657","-98.61924080237984","0.006","22","22","N/A"
"79701","Midland","TX","31.99244653255301","-102.08098371839077","0.006","22","22","N/A"
"74133","Tulsa","OK","36.04113191461008","-95.8795575693711","0.006","22","22","N/A"
"32837","Orlando","FL","28.38078824752976","-81.41995457459288","0.006","22","22","N/A"
"75851","Lovelady","TX","31.09458299124312","-95.49555204303209","0.006","22","22","N/A"
"75460","Paris","TX","33.66273202500286","-95.60295720477778","0.006","22","22","N/A"
"68633","Dodge","NE","41.705883749839415","-96.89668759257178","0.006","22","22","N/A"
"76179","Fort Worth","TX","32.913970549473355","-97.43948699310097","0.006","22","-2","-8.333333333333337"
